1
    LCPFCT Test #1 - Constant V Convection:   step =   0 and TIME =  0.000
          with DX = 1.000 DT = 0.200 and VX = 1.000

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
   10   9.50000   0.39106   0.00000   0.11621   0.00000   0.02907   0.01247
   11  10.50000   0.65869   1.00000   0.27572   0.29455   0.03172   0.02762
   12  11.50000   0.85634   1.00000   0.44555   0.52397   0.03329   0.05647
   13  12.50000   0.96248   1.00000   0.60186   0.66005   0.03789   0.10664
   14  13.50000   0.99725   1.00000   0.73672   0.75902   0.12824   0.18600
   15  14.50000   1.00000   1.00000   0.84563   0.83448   0.31265   0.29964
   16  15.50000   1.00000   1.00000   0.92214   0.89247   0.53205   0.44582
   17  16.50000   1.00000   1.00000   0.96264   0.93626   0.71843   0.61265
   18  17.50000   1.00000   1.00000   0.97388   0.96780   0.83115   0.77758
   19  18.50000   1.00000   1.00000   0.97422   0.98826   0.87123   0.91151
   20  19.50000   1.00000   1.00000   0.97422   0.99834   0.87412   0.98687
   21  20.50000   1.00000   1.00000   0.97275   0.99833   0.87412   0.98684
   22  21.50000   1.00000   1.00000   0.96347   0.98825   0.87412   0.91142
   23  22.50000   1.00000   1.00000   0.95660   0.96778   0.82357   0.77746
   24  23.50000   1.00000   1.00000   0.95471   0.93623   0.66934   0.61252
   25  24.50000   0.99995   1.00000   0.95369   0.89243   0.48613   0.44570
   26  25.50000   0.99982   1.00000   0.92050   0.83443   0.32092   0.29954
   27  26.50000   0.99935   1.00000   0.80081   0.75896   0.19435   0.18593
   28  27.50000   0.99711   1.00000   0.61251   0.65996   0.10805   0.10659
   29  28.50000   0.86958   1.00000   0.40154   0.52384   0.05424   0.05644
   30  29.50000   0.60894   1.00000   0.21699   0.29425   0.02330   0.02760
   31  30.50000   0.34131   0.00000   0.08919   0.00000   0.00746   0.01247
   32  31.50000   0.14366   0.00000   0.02267   0.00000   0.00117   0.00520
   33  32.50000   0.03752   0.00000   0.00152   0.00000   0.00000   0.00200
   34  33.50000   0.00275   0.00000   0.00000   0.00000   0.00000   0.00071
   35  34.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00023
   36  35.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00007
   37  36.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00002
   38  37.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00001
   39  38.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   40  39.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   41  40.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   42  41.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   43  42.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   44  43.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   45  44.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   46  45.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   47  46.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   48  47.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   49  48.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   50  49.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000

 Conserved sums  19.99999  20.00000  15.70969  15.70969   8.86227   8.86227
 Absolute error   0.10505             0.06677             0.10650
